FSLogix Setting, Container Type, Registry Entry, Expected Value, Remove
FSLogix VHD(X) Size In MB Setting (Profile Container):Test checks the size for VHD(x) files being created. Are Host Pools using default or configured with custom size., ProfileContainer, SizeInMBs, 60000, Remove
FSLogix Search Capability (Profile Container):Test checks to see if Search Roaming feature is configured and if search data is stored in the container., ProfileContainer, RoamSearch, 0, Remove
FSLogix OutLook Cached Mode Setting (Profile Container):Test checks what is configured for Outlook cached mode., ProfileContainer, OutlookCachedMode, 1, Remove
FSLogix SID Folder Creation Setting (Profile Container):Test checks if the VHD(X) file is placed and used in the root VHDLocation rather than in a SID directory under VHDLocation., ProfileContainer, NoProfileContainingFolder, 1, Remove
FSLogix Volume Type Setting (Profile Container):Test checks to see if Volume created on Session Host is a VHD or VHDX., ProfileContainer, VolumeType, vhdx, Remove
FSLogix Keeping Local Folder Setting (Profile Container):If local folder needs to be kept., ProfileContainer, KeepLocalDir, 0, Remove
FSLogix Reboot When Log Off Setting (Profile Container):Test checks if reboot of the machine is done when a user logs off., ProfileContainer, RebootOnUserLogoff, 0, Remove
FSLogix Shutdown When Log Off Setting (Profile Container):Test checks if shutdown of the machine is done when a user logs off., ProfileContainer, ShutdownOnUserLogoff, 0, Remove
FSLogix Temp Folders Redirection Setting (Profile Container):Test checks to see if redirection of the TEMP TMP and INetCache paths to the local drive are configured for host pools., ProfileContainer, SetTempToLocalPath, 3, Remove
FSLogix Removal of Orphaned OST Setting (Profile Container):Test checks if FSLogix is configured to remove duplicate OST files upon user log off., ProfileContainer, RemoveOrphanedOSTFilesOnLogoff, 1, Remove
FSLogix Redirection Settings:Test checks if FSLogix Redirection is being used and excluded paths., ProfileContainer, RedirXMLSourceFolder, \\Server\Redirection.xml, Remove
FSLogix Office Container Exclude-Include Groups Test:Test checks if FSLogix Exclude/Include Groups are in use to avoid load on storage., OfficeContainer, ODFCIncludeList, Only Administrators, Remove
FSLogix Office Container Status:Test checks if FSLogix for host pools is configured to handle concurrent user sessions on the same machine. However it depends on the server., OfficeContainer, Enabled, 1, Remove
FSLogix Office Container VHD Locations:Test checks if FSLogix for host pools is configured to handle concurrent user sessions on the same machine. However it depends on the server., OfficeContainer, VHDLocations, \\Server\Value, Remove
FSLogix VHD Access Mode (Office Container):Test checks if FSLogix for host pools is configured to handle concurrent user sessions on the same machine. However it depends on the server., OfficeContainer, VHDAccessMode, 0, Remove
FSLogix Locked Retry Count (Office Container):Test checks retries to perform when a VHD(X) file is locked - open by another process or computer., OfficeContainer, LockedRetryCount, 12, Remove
FSLogix Locked Retry Interval (Office Container):Test checks the number of seconds to wait between retries - set by LockedRetryCount above., OfficeContainer, LockedRetryInterval, 10, Remove
FSLogix VHDX Sector Size (Office Container):Test checks the sector size of VHDX file configured. This is only applicable if VHDX is used., OfficeContainer, VHDXSectorSize, 0, Remove
FSLogix Volume Wait Attachment (Office Container):Test checks the number of milliseconds to wait for the volume to be attached by the system., OfficeContainer, VolumeWaitTimeMS, 20000, Remove
FSLogix Flip Flop Profile Directory Setting (Office Container):Test checks if profile folder is created as %username%%sid% instead of the default %sid%%username%., OfficeContainer, FlipFlopProfileDirectoryName, 1, Remove
FSLogix Prevent Login With Failure Setting (Office Container):Test checks what is configured for host pools for creating profile directories on Profile Shares. , OfficeContainer, PreventLoginWithFailure, 1, Remove
FSLogix Prevent Login With Temp Profile Setting (Office Container):Test checks if user is prevented login when a failure occurs while attaching an FSLogix container., OfficeContainer, PreventLoginWithTempProfile, 1, Remove
FSLogix VHD(X) Attach Retry Count Setting (Office Container):Test checks if user is prevented login when a user receives a temporary Windows profile., OfficeContainer, ReAttachRetryCount, 16, Remove
FSLogix VHD(X) Attach Retry Interval Setting (Office Container):Test checks what happens when a VHD(x) volume is detached unexpectedly the FSLogix system will attempt to re-attach the volume. Test checks retry count configured., OfficeContainer, ReAttachIntervalSeconds, 10, Remove
FSLogix Use of Dynamic VHDX Setting (Office Container):Test checks if VHDX files are in use or VHD., OfficeContainer, IsDynamic, 1, Remove
FSLogix VHD(X) Size In MB Setting (Office Container):Test checks the size for VHD(x) files being created. Are Host Pools using default or configured with custom size., OfficeContainer, SizeInMBs, 60000, Remove
FSLogix Search Capability (Office Container):Test checks to see if Search Roaming feature is configured and if search data is stored in the container., OfficeContainer, RoamSearch, 0, Remove
FSLogix OutLook Cached Mode Setting (Office Container):Test checks what is configured for Outlook cached mode., OfficeContainer, OutlookCachedMode, 1, Remove
FSLogix SID Folder Creation Setting (Office Container):Test checks if the VHD(X) file is placed and used in the root VHDLocation rather than in a SID directory under VHDLocation., OfficeContainer, NoProfileContainingFolder, 1, Remove
FSLogix Volume Type Setting (Office Container):Test checks to see if Volume created on Session Host is a VHD or VHDX., OfficeContainer, VolumeType, vhdx, Remove
FSLogix Removal of Orphaned OST Setting (Office Container):Test checks if FSLogix is configured to remove duplicate OST files upon user log off., OfficeContainer, RemoveOrphanedOSTFilesOnLogoff, 1, Remove
FSLogix Include Office Activation Data Setting (Office Container):Test checks if FSLogix is configured to store Office license activation data in the container., OfficeContainer, IncludeOfficeActivation, 1, Remove
FSLogix Include OneDrive Data Setting (Office Container):Test checks if FSLogix is configured to include OneDrive cache data in container, OfficeContainer, IncludeOneDrive, 1, Remove
FSLogix Include Outlook Data Setting (Office Container):Test checks if FSLogix is configured to include Outlook data files in Container., OfficeContainer, IncludeOutlook, 1, Remove
FSLogix Include Outlook Personalization Data Setting (Office Container):Test checks if FSLogix is configured to include Outlook personalization data in Container., OfficeContainer, IncludeOutlookPersonalization, 1, Remove
FSLogix Include Sharepoint Data Setting (Office Container):Test checks if FSLogix is configured to include Sharepoint data files in Container, OfficeContainer, IncludeSharepoint, 1, Remove
FSLogix Include Teams Data Setting (Office Container):Test checks if FSLogix is configured to include Teams data files in Container., OfficeContainer, IncludeTeams, 1, Remove
FSLogix Number of Per-Session VHDs To Persist Setting (Office Container):Test checks to see if duplicate OST files are removed from the user profiles., OfficeContainer, NumSessionVHDsToKeep, 2, Remove
FSLogix Outlook Folder Path Setting (Office Container):Test checks to see if FSLogix is configured to set alternate path for storing outlook data. Default is '%userprofile%\AppData\Local\Microsoft\Outlook'., OfficeContainer, OutlookFolderPath, %userprofile%\AppData\Local\Microsoft\Outlook, Remove
FSLogix Sync OST To VHD Setting (Office Container):Test checks to see if FSLogix is configured to sync existing local OST file  to VHD when new VHD is created., OfficeContainer, MirrorLocalOSTToVHD, 1, Remove
